geo_id,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,median_rent,percent_income_spent_on_rent,commuters_16_over,commute_less_10_mins,commute_35_44_mins,commute_60_more_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,employed_pop,unemployed_pop,not_in_labor_force,pop_in_labor_force,bachelors_degree_or_higher_25_64,commuters_by_bus,commuters_by_subway_or_elevated,commuters_by_carpool,group_quarters,households_public_asst_or_food_stamps,no_cars,pop_determined_poverty_status,poverty,gini_index,county,city,zip_code,internal_point_lat,internal_point_lon,area_land_meters,area_water_meters
12164,347,131,216,59.7,335,12,0,0,0,0,0,347,0,77,66458,29866,562,600,35,134,89,0,9,18,12,1,0,1,4,,3,4,1,2,7,2,2,0,5,5,21,11,2,1,2,9,137,5,187,142,19,0,0,3,42,1,7,347,12,0.3842,Hamilton County,Speculator village,12164,43.5760404,-74.3562318,120211595,7369720
13163,473,295,178,34.4,413,34,0,18,8,0,0,455,0,143,45417,20047,156,,,147,35,8,0,18,12,38,9,27,0,,20,11,8,0,0,2,7,23,3,12,18,20,14,4,0,1,158,0,267,158,33,0,0,5,111,9,20,362,75,0.3951,Madison County,Wampsville village,13163,43.0801224,-75.7109327,1374975,18713
12435,308,197,111,42.3,304,0,0,4,0,0,0,304,0,100,42778,19532,196,789,38.8,133,0,0,9,41,42,0,25,15,1,,0,7,0,0,19,0,20,12,0,0,13,8,20,1,0,0,157,1,95,158,59,0,0,17,0,19,19,308,35,0.3188,Ulster,Greenfield park,12435,41.7308003,-74.5133605,25789230,198624
14441,332,187,145,34.9,312,0,0,20,0,0,0,312,0,119,56250,25531,214,686,17.5,159,36,2,6,31,7,40,18,16,3,,0,3,5,10,1,7,10,3,10,18,15,11,19,2,0,5,160,14,88,174,36,0,0,20,0,23,5,332,43,0.3339,Yates County,Dresden village,14441,42.68461,-76.9576026,908562,14641
13804,353,169,184,44.9,341,0,0,0,0,0,12,353,4,153,56181,29256,230,,14.8,172,31,8,3,28,29,32,0,0,41,,7,2,8,20,13,4,9,0,0,37,17,5,6,17,4,4,183,7,139,190,25,0,4,0,0,14,3,353,48,0.4214,Delaware,Masonville,13804,42.2257216,-75.384222,39353694,85703
12454,363,177,186,36,334,0,0,0,0,29,0,363,0,121,62083,28796,324,817,31.7,186,50,0,8,42,62,14,10,0,0,,0,0,3,7,10,10,0,0,21,7,6,27,19,7,4,0,193,5,98,208,39,0,0,18,0,4,0,363,19,0.304,Greene,Maplecrest,12454,42.2798211,-74.1420253,28838774,114432
13659,479,241,238,55.2,474,0,0,5,0,0,0,474,0,199,55625,25385,387,683,44.2,186,14,16,17,5,20,20,34,46,14,,18,9,10,11,10,7,11,11,4,27,12,40,10,7,12,0,193,21,197,214,20,0,0,9,0,41,5,470,105,0.402,Jefferson County,Lorraine CDP,13659,43.7380047,-75.8633802,147164933,236943
12749,331,174,157,32.3,319,0,0,12,0,0,0,319,0,195,55563,35243,449,627,21.7,232,0,0,24,42,100,66,0,0,0,,19,0,0,25,22,21,0,0,6,20,37,5,20,20,0,0,238,0,68,238,50,0,0,24,0,0,0,331,46,0.3972,Sullivan,Kauneonga lake,12749,41.6951833,-74.8410818,7617716,66913
12464,653,253,400,61.8,649,0,0,4,0,0,0,649,19,459,40145,31856,773,763,51,250,34,25,13,59,40,13,0,39,27,,47,24,29,39,9,52,27,43,26,81,29,4,22,19,8,0,310,22,310,332,179,0,19,26,0,72,31,653,127,0.3926,Ulster County,Phoenicia CDP,12464,42.0317192,-74.3312333,114332349,25039
13672,763,364,399,36.9,720,0,0,34,5,0,4,729,0,297,57650,25765,698,579,22.3,349,40,23,33,5,71,65,4,55,53,,6,10,15,11,21,0,12,9,14,74,15,51,37,10,12,0,360,4,203,364,122,0,0,32,0,33,29,744,162,0.3294,St. Lawrence County,Parishville CDP,13672,44.470543,-74.6607062,322973571,4439042
13337,595,339,256,52.3,541,0,19,35,0,0,0,560,0,278,81591,50548,312,727,36,313,83,0,16,62,78,25,33,16,0,,8,13,0,43,19,0,0,23,0,17,9,82,0,0,37,27,347,33,118,380,164,0,0,0,0,24,0,595,54,0.5128,Otsego,Fly creek,13337,42.757804,-74.9995446,47908558,300099
12810,747,349,398,49.3,727,6,0,11,0,0,3,736,0,302,58125,26689,430,533,22.5,365,49,48,48,36,33,42,21,62,26,12355,14,4,0,17,21,24,6,10,15,49,43,57,18,7,12,5,374,6,234,380,48,0,0,17,0,16,7,747,78,0.342,Warren,Athol,12810,43.4919677,-73.9859539,171982657,2953831
12873,856,480,376,47.1,829,1,0,26,0,0,0,830,7,349,62679,27624,438,758,43.6,425,52,42,54,45,53,58,22,58,41,13625,5,5,34,44,4,18,11,20,11,13,50,64,34,17,16,3,474,2,259,476,132,7,0,46,6,24,21,856,39,0.3661,Washington,Shushan,12873,43.1174512,-73.3116462,54697763,569
14860,1182,569,613,48.5,1154,12,4,11,1,0,0,1171,2,556,51786,29131,932,541,39,511,65,64,61,71,71,56,13,62,48,15230,14,22,37,37,33,19,37,30,39,54,80,71,26,37,16,4,543,25,451,568,158,2,0,58,0,53,34,1182,75,0.3771,Seneca County,Lodi village,14860,42.5919198,-76.8314278,54357516,10449
