,NAME,x,y
70,Kerr,-99.35015975622805,30.061483805215968
71,Hernando,-82.46848951163739,28.55617085125635
72,Wakulla,-84.37560748852222,30.147771978858987
73,Walton,-86.17151630894185,30.618468845842887
74,Chickasaw,-88.94786378912103,33.920799859756755
75,Ketchikan Gateway,-131.03051034272698,55.48851485946943
76,Clare,-84.84786075478193,43.98789186547013
77,Republic,-97.65062277276466,39.82779632161955
78,Volusia,-81.14857435729554,29.063447505108883
79,Canadian,-97.9824010418674,35.54244447092048
80,Quebradillas,-66.92626637041039,18.463048272058998
81,St. Thomas,-64.96708278568704,18.32860168762371
82,Floyd,-85.21427864991006,34.263162688952214
83,Churchill,-118.33577887422979,39.58087638099307
84,Webster,-98.49994737527919,40.17643321406431
85,Hancock,-91.1646955495567,40.40377473480924
86,Hutchinson,-97.75441623515556,43.33484668908385
87,Crook,-120.35658095016998,44.142179837187086
88,Franklin,-72.91202654293699,44.8575139984048
89,Marquette,-87.5735241034059,46.6628779661105
90,Middlesex,-72.52311942958906,41.43538180431732
91,Davidson,-80.21274877556087,35.793352491677744
92,Clay,-88.49023742248681,38.75417149512533
93,Knox,-92.1480723868072,40.12825489287796
94,Livingston,-93.54827927862014,39.7821029110547
95,Tioga,-77.25426417661353,41.772161445837156
96,Dakota,-96.56451301799645,42.391111818570025
97,Leelanau,-86.03849605234352,45.15177085898746
98,Surry,-76.88830957001885,37.11691216034846
99,Refugio,-97.1595214632186,28.32157530008196
100,Butler,-84.57564493510003,39.43861647341157
101,Terrell,-84.43692220132554,31.77688098636057
102,Clayton,-84.35765425169349,33.54190060634791
103,Fremont,-108.63041812366377,43.040528097310045
104,Ohio,-84.96504312086444,38.950094590201246
105,Columbia,-82.26405270225268,33.54411791007687
106,Sedgwick,-102.35179119474527,40.87590496413018
107,Musselshell,-108.39808813007221,46.49656118510256
108,Dauphin,-76.7794746983138,40.41544053543975
109,Moody,-96.67092202748036,44.022011363044975
110,Putnam,-81.9089929263027,38.50861677689727
111,Sussex,-74.69080068323318,41.13929693347881
112,Decatur,-100.45989954434427,39.78475649168715
113,Perry,-86.6380317986216,38.07964913517999
114,Union,-89.00385691001475,34.49047423271939
115,Boyd,-98.7664619491018,42.899684762526384
116,Mille Lacs,-93.63008345904451,45.93804072456394
117,Walsh,-97.72132408668591,48.36945603584113
118,Morgan,-81.85266189842405,39.620373472700585
119,Portage,-81.19740373858228,41.16768284012846
120,Uinta,-110.54756169338141,41.2874919209699
121,Humboldt,-118.11196582777565,41.40684657070253
122,Jim Hogg,-98.69730506846358,27.043397136790208
123,Cheyenne,-102.60339582390324,38.82793972065674
124,Clackamas,-122.22086962525385,45.18804535465792
125,Polk,-94.22806043733587,34.485884927739505
126,Macon,-84.04247941309363,32.35838259453905
127,Benton,-87.31090601801361,40.60625846297874
128,Morgan,-84.64920374212359,36.1350244126551
129,Douglas,-98.36609835968048,43.38692416402214
130,Worcester,-75.29667082466324,38.216499984306346
131,Wabash,-87.84427489084551,38.446101602335965
132,Huntington,-85.48817227771629,40.82923995746261
133,Scott,-84.58393389372354,38.29154731598955
134,Decatur,-93.78628140963032,40.73768271103937
135,Wabash,-85.79400567386055,40.84569300578796
136,Allen,-85.06656204017176,41.090870881072796
137,Marshall,-86.26176129234148,41.32484896075364
138,Thomas,-100.55584561944276,41.91350607435828
139,Sioux,-101.04030528404921,46.11265390910041
140,Dimmit,-99.75672612500445,28.42253599822051
141,Fillmore,-92.0901672654192,43.67399716927113
142,Chester,-81.15953127092091,34.692057292076555
143,Lac qui Parle,-96.17347865852757,44.995486928989784
144,Cache,-111.74362208342122,41.722429570586826
145,Pierce,-92.42250349125237,44.71940150307787
146,Charlton,-82.13768814116655,30.781727201573524
147,Polk,-85.18815338218799,34.00178448544975
148,McLean,-88.8473242780277,40.4908916186805
149,Androscoggin,-70.20644499698689,44.16584842984597
150,Kootenai,-116.70176203098059,47.674356629705755
151,Clark,-115.01356105803404,36.215196307471224
152,Phillips,-99.34702212297717,39.7845831124869
153,Holt,-98.78384470841836,42.455710847297205
154,Johnson,-93.80636749361257,38.74408548566425
155,La Crosse,-91.1151957557457,43.90655190652195
156,Caldwell,-92.11660587613541,32.09227154861801
157,Edmonson,-86.23862014946172,37.208840205531395
158,Bond,-89.43554423808403,38.88682964014454
159,Brown,-90.75035562116095,39.96176162875662
160,McLeod,-94.27242021058588,44.82354393832922
161,Dunn,-91.89640360796524,44.94658399386635
162,Custer,-105.36747177834124,38.10867790147913
163,Madison,-90.34502615956957,37.4780954960556
164,Nolan,-100.40605246324634,32.30349025793006
165,Wayne,-75.30325771235628,41.648730749385
166,Saratoga,-73.86390455405923,43.10738119683505
167,Brazos,-96.30238494505386,30.66079897341508
168,Marshall,-96.76913439711555,34.02451018166018
169,Allegany,-78.69753855057654,39.621473218739645
170,Wetzel,-80.6390976036208,39.605263266124375
171,Jackson,-90.80516773375273,44.31915044035377
172,Clatsop,-123.71699916094856,46.01752615117685
173,Lewis,-122.39263834753376,46.57776817509061
174,Allegany,-78.0275606009918,42.25739135105256
175,Cedar,-91.13242304683462,41.77232666070483
176,Orange,-86.49506928212256,38.541778885670546
177,DeKalb,-84.22643241597211,33.77154687125986
178,Pickens,-84.46563905775494,34.46431978032048
179,Chouteau,-110.4352238028833,47.88058387863839
180,Brown,-99.92950645176712,42.43002059614232
181,Campbell,-84.14938458042988,36.403512814322575
182,Franklin,-78.28569658242239,36.082773352705885
183,Baltimore,-76.61064690500112,39.30097971427154
184,Lyon,-96.15263975015426,38.4561871377106
185,Carroll,-94.8605592806764,42.036238222883156
186,Tensas,-91.340072996453,32.001660775064536
187,Monroe,-84.25280048036781,35.44264488887096
188,Hamilton,-101.79125646473659,37.99915254384024
189,Pocahontas,-94.67874661221528,42.73413511047054
190,Gem,-116.397518963667,44.06154654096416
191,Independence,-91.56971165289636,35.741553412909774
192,Lonoke,-91.88878989812076,34.75423681277068
193,Newton,-87.39753659425575,40.955847743574544
194,Franklin,-83.2291886373942,34.37542731522807
195,Hendry,-81.16590124956483,26.55348985128537
196,Taliaferro,-82.87876446867105,33.566090840766385
197,Jefferson,-94.15343945913357,29.853728924213353
198,Meagher,-110.88566138497707,46.598224078150714
199,La Plata,-107.84327068659617,37.286581953998336
200,Bell,-97.4782023976578,31.03767171307173
201,Kemper,-88.64115942390251,32.754557930682864
202,Clark,-93.17636748992123,34.05095586430053
203,Klamath,-121.65012099380002,42.686408942735795
204,Oswego,-76.2086867847121,43.46388324994114
205,Naranjito,-66.25255090311168,18.28841776015911
206,Cherokee,-85.60379371555722,34.17595596772314
207,Bandera,-99.24624411196794,29.747204993932446
208,Rosebud,-106.73071223561172,46.22965226676809
209,Union,-103.47097051336084,36.48166847948505
210,Schoolcraft,-86.17729449039587,46.04247981514261
211,Ulster,-74.25856952508705,41.88814562629867
212,Camden,-74.95975435528976,39.80353923909777
213,Jersey,-90.35652829846809,39.08550548874979
214,Hanover,-77.49115732711444,37.76013948112062
215,Wallace,-101.76357400528762,38.91666113976032
216,Alger,-86.57216017165804,46.94826921077377
217,Fulton,-91.81823529936052,36.381669547383815
218,Hidalgo,-98.18108719786207,26.396728486360427
219,Robeson,-79.10386492768765,34.64024205135906
220,Newaygo,-85.80091729372073,43.55416755191111
221,Morrow,-119.58427503116036,45.419004538914564
222,Todd,-94.89759936324673,46.070623764057245
223,Logan,-93.71621699262586,35.21533851044022
224,Lincoln,-81.22353262640208,35.48559502341941
225,Miller,-93.8915614277308,33.31214717833887
226,Orange,-81.32347352807362,28.514416258765834
227,San Juan,-107.6761472749098,37.76404307296361
228,Franklin,-111.81320111126944,42.18109165372801
229,Carroll,-85.07976305449941,33.582797851541
230,Riley,-96.73517697551331,39.29655320114802
231,Schleicher,-100.538546044499,30.897452608758634
232,Russell,-82.09535692037738,36.93387052808093
233,Caldwell,-81.546436645149,35.953037933404104
234,Madison,-111.65918848517522,43.78414025163552
235,Warrick,-87.27205374466608,38.09216624341735
236,Adair,-85.28064976289666,37.10415345259315
237,Gallatin,-84.85931238567859,38.75687466471067
238,Harrison,-84.33139583434142,38.44180350908736
239,Sagadahoc,-69.83930895622852,43.911726893785705
240,Sweet Grass,-109.94101389888971,45.81389375810257
241,Grayson,-96.6777253880892,33.62680855389349
242,Greene,-80.22287385849864,39.85379980988913
243,Northwest Arctic,-160.00697853657132,67.00817244319961
244,Ellis,-99.31723162323448,38.91475125290477
245,Hale,-87.62911768157608,32.76266422458843
246,Perry,-87.29440078537995,32.63846565575715
247,Colbert,-87.8049852867279,34.700433798363036
248,Pratt,-98.73959570923388,37.647735337405145
249,Bourbon,-84.21713995488663,38.20672995144697
250,Rutherford,-86.41673789582796,35.842706526444175
251,Cook,-83.430465067325,31.153991028511648
252,Lane,-100.46639844878969,38.48130471816582
253,Harper,-99.667401072948,36.788802542336185
254,Piatt,-88.59108665019724,40.01035274506628
255,Crosby,-101.29995845076913,33.61462503093874
256,Fajardo,-65.60656081310634,18.362209252075907
257,Greene,-87.95223091560825,32.853138842742496
258,Clark,-112.35129751151293,44.28390563428783
